2200.0,-273.754893,"Material 1",1
2200.0,-273.754893,"Material 1",1
2200.0,-273.754893,"Material 1",1
2200.0,-273.754893,"Material 1",2
2200.0,-273.754893,"Material 1",2
2200.0,-273.754893,"Material 1",2
2200.0,-273.754893,"Material 1",2
2466.435232,49.56275599999998,"Material 2",1
2507.674207,53.127977999999985,"Material 2",1
2589.460054,52.69156600000002,"Material 2",1
2589.460054,52.69156600000002,"Material 2",1
2589.460054,52.69156600000002,"Material 2",1
2676.589182,52.22575699999999,"Material 2",2
2626.61346,48.44311099999999,"Material 2",2
2714.324143,47.82705099999998,"Material 2",2
2714.324143,47.82705099999998,"Material 2",2
2714.324143,47.82705099999998,"Material 2",2
2200.0,-273.754893,"Material 2",3
2200.0,-273.754893,"Material 2",3
2200.0,-273.754893,"Material 2",3
2200.0,-273.754893,"Material 2",3
