2200.0,-273.754893,"Material 1",1
2200.0,-273.754893,"Material 1",1
2200.0,-273.754893,"Material 1",1
2200.0,-273.754893,"Material 1",1
2200.0,-273.754893,"Material 1",3
2200.0,-273.754893,"Material 1",4
2200.0,-273.754893,"Material 1",4
2200.0,-273.754893,"Material 1",4
2200.0,-273.754893,"Material 2",1
2200.0,-273.754893,"Material 2",1
2773.149982,45.224489000000005,"Material 2",3
2696.079167,37.01317399999999,"Material 2",3
2645.024527,28.214957000000027,"Material 2",4
2589.460054,26.702332000000013,"Material 2",4
2539.997872,22.594220000000007,"Material 2",4
2539.997872,22.594220000000007,"Material 2",4
2200.0,-273.754893,"Material 2",5
2260.386983,-273.181955,"Material 3",1
2200.0,-273.754893,"Material 3",2
2200.0,-273.754893,"Material 3",3
2200.0,-273.754893,"Material 3",3
2200.0,-273.754893,"Material 3",3
2200.0,-273.754893,"Material 3",3
2200.0,-273.754893,"Material 3",3
2200.0,-273.754893,"Material 3",3
2200.0,-273.754893,"Material 3",3
2178.030206,-272.236566,"Material 3",3
2200.0,-273.754893,"Material 3",3
2200.0,-273.754893,"Material 3",3
2200.0,-273.754893,"Material 3",3
2200.0,-273.754893,"Material 3",3
2200.0,-273.754893,"Material 3",3
2200.0,-273.754893,"Material 3",3
2200.0,-273.754893,"Material 3",3
2200.0,-273.754893,"Material 3",3
2200.0,-273.754893,"Material 3",3
2200.0,-273.754893,"Material 3",3
2200.0,-273.754893,"Material 3",3
2200.0,-273.754893,"Material 3",3
2200.0,-273.754893,"Material 3",3
2200.0,-273.754893,"Material 3",3
2200.0,-273.754893,"Material 3",3
