Time (s),Voltage (V)
0.0,-0.008356697011981867
0.001,-0.008356697011981867
0.002,0.00642749412378633
0.003,-0.008356697011981867
0.004,-0.0009646014440977679
0.005,0.021211685259554525
0.006,-0.019444840363808013
0.007,0.002731446339844281
0.008,-0.019444840363808013
0.009,0.010123541907728378
0.01,-0.019444840363808013
0.011,-0.0009646014440977679
0.012,-0.015748792579865965
0.013,-0.012052744795923914
0.014,-0.004660649228039817
0.015,-0.0009646014440977679
0.016,-0.03422903149957621
0.017,0.002731446339844281
0.018,0.010123541907728378
0.019,-0.012052744795923914
0.02,-0.015748792579865965
0.021,-0.015748792579865965
0.022,-0.0009646014440977679
0.023,0.024907733043496576
0.024,0.00642749412378633
0.025,-0.008356697011981867
0.026,-0.004660649228039817
0.027,0.010123541907728378
0.028,-0.0009646014440977679
0.029,-0.019444840363808013
0.03,-0.02683693593169211
0.031,-0.015748792579865965
0.032,0.00642749412378633
0.033,0.002731446339844281
0.034,-0.008356697011981867
0.035,0.002731446339844281
0.036,-0.015748792579865965
0.037,-0.02683693593169211
0.038,-0.019444840363808013
0.039,0.010123541907728378
0.04,0.010123541907728378
0.041,-0.015748792579865965
0.042,-0.019444840363808013
0.043,-0.004660649228039817
0.044,0.002731446339844281
0.045,-0.02683693593169211
0.046,-0.004660649228039817
0.047,-0.008356697011981867
0.048,-0.004660649228039817
0.049,-0.019444840363808013
0.05,-0.008356697011981867
0.051,-0.012052744795923914
0.052,0.00642749412378633
0.053,-0.0009646014440977679
0.054,-0.0009646014440977679
0.055,-0.012052744795923914
0.056,-0.008356697011981867
0.057,-0.0009646014440977679
0.058,-0.012052744795923914
0.059,-0.008356697011981867
0.06,-0.0009646014440977679
0.061,0.00642749412378633
0.062,0.00642749412378633
0.063,-0.019444840363808013
0.064,0.00642749412378633
0.065,-0.02683693593169211
0.066,-0.0009646014440977679
0.067,-0.008356697011981867
0.068,-0.0009646014440977679
0.069,0.017515637475612477
0.07,-0.015748792579865965
0.071,-0.004660649228039817
0.072,-0.008356697011981867
0.073,0.002731446339844281
0.074,-0.012052744795923914
0.075,-0.012052744795923914
0.076,0.002731446339844281
0.077,-0.004660649228039817
0.078,-0.004660649228039817
0.079,-0.02314088814775006
0.08,-0.019444840363808013
0.081,-0.004660649228039817
0.082,-0.019444840363808013
0.083,-0.004660649228039817
0.084,-0.004660649228039817
0.085,0.002731446339844281
0.086,-0.008356697011981867
0.087,-0.012052744795923914
0.088,-0.0009646014440977679
0.089,-0.012052744795923914
0.09,-0.015748792579865965
0.091,-0.02314088814775006
0.092,-0.008356697011981867
0.093,0.010123541907728378
0.094,0.013819589691670428
0.095,-0.008356697011981867
0.096,-0.015748792579865965
0.097,-0.0009646014440977679
0.098,0.002731446339844281
0.099,0.00642749412378633
0.1,-0.004660649228039817
0.101,-0.012052744795923914
0.102,0.010123541907728378
0.103,-0.008356697011981867
0.104,-0.004660649228039817
0.105,-0.012052744795923914
0.106,-0.015748792579865965
0.107,-0.015748792579865965
0.108,0.002731446339844281
0.109,0.00642749412378633
0.11,-0.0009646014440977679
0.111,0.013819589691670428
0.112,-0.004660649228039817
0.113,0.010123541907728378
0.114,-0.03053298371563416
0.115,-0.004660649228039817
0.116,0.00642749412378633
0.117,-0.019444840363808013
0.118,-0.03053298371563416
0.119,0.00642749412378633
0.12,-0.012052744795923914
0.121,-0.015748792579865965
0.122,0.002731446339844281
0.123,0.010123541907728378
0.124,0.00642749412378633
0.125,-0.02314088814775006
0.126,-0.004660649228039817
0.127,-0.019444840363808013
0.128,-0.004660649228039817
0.129,-0.015748792579865965
0.13,-0.004660649228039817
0.131,-0.019444840363808013
0.132,0.002731446339844281
0.133,0.021211685259554525
0.134,-0.015748792579865965
0.135,-0.015748792579865965
0.136,-0.019444840363808013
0.137,-0.015748792579865965
0.138,-0.012052744795923914
0.139,-0.02314088814775006
0.14,0.010123541907728378
0.141,0.013819589691670428
0.142,-0.015748792579865965
0.143,0.002731446339844281
0.144,-0.03053298371563416
0.145,-0.012052744795923914
0.146,-0.015748792579865965
0.147,-0.008356697011981867
0.148,-0.03792507928351826
0.149,-0.0009646014440977679
0.15,-0.004660649228039817
0.151,-0.02314088814775006
0.152,-0.012052744795923914
0.153,-0.012052744795923914
0.154,-0.02683693593169211
0.155,-0.03053298371563416
0.156,-0.019444840363808013
0.157,0.002731446339844281
0.158,-0.02683693593169211
0.159,-0.012052744795923914
0.16,0.00642749412378633
0.161,-0.012052744795923914
0.162,0.013819589691670428
0.163,-0.004660649228039817
0.164,-0.008356697011981867
0.165,-0.012052744795923914
0.166,0.002731446339844281
0.167,0.00642749412378633
0.168,-0.015748792579865965
0.169,-0.015748792579865965
0.17,0.002731446339844281
0.171,-0.012052744795923914
0.172,0.017515637475612477
0.173,0.002731446339844281
0.174,-0.008356697011981867
0.175,-0.02314088814775006
0.176,0.002731446339844281
0.177,-0.004660649228039817
0.178,0.010123541907728378
0.179,-0.019444840363808013
0.18,-0.015748792579865965
0.181,-0.012052744795923914
0.182,0.002731446339844281
