Time (s),Voltage (V)
0.0,-0.004660649228039817
0.001,-0.02683693593169211
0.002,0.002731446339844281
0.003,-0.02314088814775006
0.004,-0.015748792579865965
0.005,-0.02683693593169211
0.006,-0.004660649228039817
0.007,-0.012052744795923914
0.008,-0.008356697011981867
0.009,-0.008356697011981867
0.01,0.010123541907728378
0.011,-0.0009646014440977679
0.012,-0.015748792579865965
0.013,-0.0009646014440977679
0.014,-0.02314088814775006
0.015,-0.004660649228039817
0.016,-0.02314088814775006
0.017,-0.015748792579865965
0.018,-0.012052744795923914
0.019,-0.015748792579865965
0.02,-0.02314088814775006
0.021,0.00642749412378633
0.022,-0.004660649228039817
0.023,-0.004660649228039817
0.024,-0.012052744795923914
0.025,-0.0009646014440977679
0.026,0.010123541907728378
0.027,-0.004660649228039817
0.028,0.010123541907728378
0.029,-0.03792507928351826
0.03,-0.012052744795923914
0.031,-0.012052744795923914
0.032,-0.02314088814775006
0.033,-0.004660649228039817
0.034,0.010123541907728378
0.035,0.010123541907728378
0.036,0.002731446339844281
0.037,-0.012052744795923914
0.038,-0.012052744795923914
0.039,-0.004660649228039817
0.04,-0.0009646014440977679
0.041,-0.012052744795923914
0.042,-0.03053298371563416
0.043,-0.008356697011981867
0.044,0.002731446339844281
0.045,-0.004660649228039817
0.046,-0.004660649228039817
0.047,-0.004660649228039817
0.048,-0.019444840363808013
0.049,0.002731446339844281
0.05,-0.015748792579865965
0.051,0.00642749412378633
0.052,0.002731446339844281
0.053,-0.0009646014440977679
0.054,-0.02683693593169211
0.055,-0.0009646014440977679
0.056,0.002731446339844281
0.057,-0.004660649228039817
0.058,-0.008356697011981867
0.059,-0.004660649228039817
0.06,0.002731446339844281
0.061,-0.012052744795923914
0.062,-0.015748792579865965
0.063,-0.0009646014440977679
0.064,-0.012052744795923914
0.065,-0.012052744795923914
0.066,-0.004660649228039817
0.067,-0.004660649228039817
0.068,-0.012052744795923914
0.069,0.002731446339844281
0.07,-0.019444840363808013
0.071,0.00642749412378633
0.072,-0.012052744795923914
0.073,-0.008356697011981867
0.074,-0.004660649228039817
0.075,0.010123541907728378
0.076,-0.019444840363808013
0.077,-0.012052744795923914
0.078,-0.015748792579865965
0.079,-0.0009646014440977679
0.08,0.002731446339844281
0.081,-0.004660649228039817
0.082,-0.004660649228039817
0.083,0.00642749412378633
0.084,-0.015748792579865965
0.085,-0.03053298371563416
0.086,-0.03422903149957621
0.087,-0.012052744795923914
0.088,-0.004660649228039817
0.089,-0.004660649228039817
0.09,-0.012052744795923914
0.091,-0.008356697011981867
0.092,0.00642749412378633
0.093,-0.004660649228039817
0.094,-0.012052744795923914
0.095,-0.019444840363808013
0.096,-0.008356697011981867
0.097,-0.008356697011981867
0.098,-0.012052744795923914
0.099,-0.008356697011981867
0.1,-0.02683693593169211
0.101,-0.02314088814775006
0.102,0.00642749412378633
0.103,0.00642749412378633
0.104,-0.0009646014440977679
0.105,-0.012052744795923914
0.106,0.010123541907728378
0.107,-0.004660649228039817
0.108,-0.015748792579865965
0.109,-0.008356697011981867
0.11,-0.008356697011981867
0.111,-0.012052744795923914
0.112,-0.0009646014440977679
0.113,-0.019444840363808013
0.114,-0.0009646014440977679
0.115,0.00642749412378633
0.116,-0.0009646014440977679
0.117,0.03969192417926477
0.118,-0.019444840363808013
0.119,-0.012052744795923914
0.12,-0.02683693593169211
0.121,-0.02314088814775006
0.122,-0.015748792579865965
0.123,0.00642749412378633
0.124,0.017515637475612477
0.125,-0.008356697011981867
0.126,-0.02314088814775006
0.127,-0.008356697011981867
0.128,-0.012052744795923914
0.129,0.017515637475612477
0.13,-0.004660649228039817
0.131,-0.015748792579865965
0.132,-0.019444840363808013
0.133,-0.012052744795923914
0.134,-0.015748792579865965
0.135,-0.008356697011981867
0.136,-0.008356697011981867
0.137,-0.015748792579865965
0.138,0.010123541907728378
0.139,-0.019444840363808013
0.14,-0.012052744795923914
0.141,-0.008356697011981867
0.142,-0.02683693593169211
0.143,-0.0009646014440977679
0.144,0.028603780827438623
0.145,-0.008356697011981867
0.146,-0.004660649228039817
0.147,0.017515637475612477
0.148,-0.004660649228039817
0.149,-0.019444840363808013
0.15,-0.015748792579865965
0.151,0.013819589691670428
0.152,0.00642749412378633
0.153,-0.012052744795923914
0.154,-0.008356697011981867
0.155,-0.019444840363808013
0.156,-0.03053298371563416
0.157,-0.015748792579865965
0.158,0.013819589691670428
0.159,-0.008356697011981867
0.16,-0.015748792579865965
0.161,0.013819589691670428
0.162,-0.004660649228039817
0.163,-0.012052744795923914
0.164,-0.008356697011981867
0.165,-0.02314088814775006
0.166,0.010123541907728378
0.167,-0.008356697011981867
0.168,-0.0009646014440977679
0.169,0.017515637475612477
0.17,-0.008356697011981867
0.171,0.024907733043496576
0.172,0.010123541907728378
0.173,0.00642749412378633
0.174,-0.008356697011981867
0.175,-0.03792507928351826
0.176,-0.004660649228039817
0.177,-0.008356697011981867
0.178,-0.012052744795923914
0.179,0.002731446339844281
0.18,0.00642749412378633
0.181,-0.004660649228039817
0.182,-0.004660649228039817
0.183,-0.012052744795923914
0.184,0.010123541907728378
0.185,-0.004660649228039817
0.186,0.00642749412378633
0.187,0.010123541907728378
0.188,0.002731446339844281
0.189,-0.004660649228039817
0.19,-0.0009646014440977679
0.191,-0.004660649228039817
0.192,-0.004660649228039817
0.193,0.017515637475612477
0.194,0.00642749412378633
0.195,-0.012052744795923914
0.196,-0.008356697011981867
0.197,-0.004660649228039817
0.198,-0.0009646014440977679
0.199,-0.019444840363808013
0.2,0.013819589691670428
0.201,0.017515637475612477
0.202,-0.02683693593169211
0.203,0.010123541907728378
0.204,-0.008356697011981867
0.205,-0.008356697011981867
0.206,-0.012052744795923914
0.207,-0.019444840363808013
0.208,-0.008356697011981867
0.209,-0.008356697011981867
0.21,0.002731446339844281
0.211,-0.0009646014440977679
0.212,0.00642749412378633
0.213,-0.03422903149957621
0.214,-0.008356697011981867
0.215,0.00642749412378633
0.216,-0.0009646014440977679
0.217,-0.008356697011981867
0.218,-0.012052744795923914
0.219,-0.008356697011981867
0.22,-0.02683693593169211
0.221,-0.0009646014440977679
0.222,-0.008356697011981867
0.223,-0.0009646014440977679
0.224,-0.012052744795923914
0.225,0.017515637475612477
0.226,-0.004660649228039817
0.227,-0.012052744795923914
0.228,-0.008356697011981867
0.229,-0.015748792579865965
0.23,0.010123541907728378
0.231,0.002731446339844281
0.232,-0.015748792579865965
0.233,0.021211685259554525
0.234,-0.008356697011981867
0.235,0.024907733043496576
0.236,-0.015748792579865965
0.237,-0.015748792579865965
0.238,0.00642749412378633
0.239,-0.015748792579865965
0.24,0.017515637475612477
0.241,-0.02314088814775006
0.242,-0.008356697011981867
0.243,-0.012052744795923914
0.244,-0.012052744795923914
0.245,-0.019444840363808013
0.246,-0.0009646014440977679
0.247,-0.03053298371563416
0.248,-0.015748792579865965
0.249,-0.02683693593169211
0.25,0.00642749412378633
0.251,-0.008356697011981867
0.252,-0.012052744795923914
0.253,-0.004660649228039817
0.254,-0.004660649228039817
0.255,0.002731446339844281
0.256,-0.008356697011981867
0.257,-0.015748792579865965
0.258,-0.03422903149957621
0.259,-0.008356697011981867
0.26,0.00642749412378633
0.261,0.00642749412378633
0.262,-0.008356697011981867
