Time (s),Voltage (V)
0.0,0.002731446339844281
0.001,0.00642749412378633
0.002,-0.004660649228039817
0.003,0.002731446339844281
0.004,-0.015748792579865965
0.005,-0.015748792579865965
0.006,-0.004660649228039817
0.007,0.00642749412378633
0.008,-0.004660649228039817
0.009,-0.0009646014440977679
0.01,0.017515637475612477
0.011,-0.004660649228039817
0.012,-0.012052744795923914
0.013,-0.019444840363808013
0.014,-0.02314088814775006
0.015,0.002731446339844281
0.016,-0.02683693593169211
0.017,-0.02314088814775006
0.018,-0.0009646014440977679
0.019,0.00642749412378633
0.02,-0.012052744795923914
0.021,-0.015748792579865965
0.022,-0.0009646014440977679
0.023,-0.012052744795923914
0.024,-0.02314088814775006
0.025,0.00642749412378633
0.026,-0.0009646014440977679
0.027,-0.015748792579865965
0.028,-0.012052744795923914
0.029,0.002731446339844281
0.03,-0.008356697011981867
0.031,-0.012052744795923914
0.032,-0.0009646014440977679
0.033,-0.008356697011981867
0.034,-0.004660649228039817
0.035,-0.02314088814775006
0.036,-0.0009646014440977679
0.037,-0.02683693593169211
0.038,-0.0009646014440977679
0.039,-0.008356697011981867
0.04,-0.0009646014440977679
0.041,-0.02314088814775006
0.042,-0.0009646014440977679
0.043,0.00642749412378633
0.044,0.00642749412378633
0.045,-0.012052744795923914
0.046,0.010123541907728378
0.047,0.002731446339844281
0.048,-0.012052744795923914
0.049,-0.015748792579865965
0.05,-0.008356697011981867
0.051,-0.015748792579865965
0.052,-0.008356697011981867
0.053,-0.004660649228039817
0.054,-0.02683693593169211
0.055,-0.008356697011981867
0.056,-0.03422903149957621
0.057,-0.012052744795923914
0.058,-0.019444840363808013
0.059,-0.012052744795923914
0.06,0.010123541907728378
0.061,0.002731446339844281
0.062,-0.0009646014440977679
0.063,-0.015748792579865965
0.064,-0.008356697011981867
0.065,-0.012052744795923914
0.066,0.00642749412378633
0.067,-0.0009646014440977679
0.068,-0.019444840363808013
0.069,-0.015748792579865965
0.07,-0.019444840363808013
0.071,-0.015748792579865965
0.072,-0.004660649228039817
0.073,-0.004660649228039817
0.074,0.00642749412378633
0.075,-0.008356697011981867
0.076,-0.0009646014440977679
0.077,-0.019444840363808013
0.078,-0.04162112706746031
0.079,-0.015748792579865965
0.08,0.010123541907728378
0.081,-0.008356697011981867
0.082,-0.015748792579865965
0.083,-0.0009646014440977679
0.084,-0.004660649228039817
0.085,-0.02314088814775006
0.086,-0.019444840363808013
0.087,0.002731446339844281
0.088,-0.012052744795923914
0.089,-0.012052744795923914
0.09,0.024907733043496576
0.091,-0.012052744795923914
0.092,0.013819589691670428
0.093,-0.008356697011981867
0.094,-0.03053298371563416
0.095,0.010123541907728378
0.096,0.013819589691670428
0.097,-0.008356697011981867
0.098,0.010123541907728378
0.099,-0.02683693593169211
0.1,0.002731446339844281
0.101,0.013819589691670428
0.102,-0.012052744795923914
0.103,-0.004660649228039817
0.104,-0.015748792579865965
0.105,-0.004660649228039817
0.106,-0.015748792579865965
0.107,-0.015748792579865965
0.108,-0.008356697011981867
0.109,-0.008356697011981867
0.11,-0.004660649228039817
0.111,-0.019444840363808013
0.112,-0.008356697011981867
0.113,-0.012052744795923914
0.114,0.002731446339844281
0.115,0.010123541907728378
0.116,-0.0009646014440977679
0.117,0.002731446339844281
0.118,-0.02683693593169211
0.119,-0.019444840363808013
0.12,0.002731446339844281
0.121,0.002731446339844281
0.122,0.002731446339844281
0.123,-0.008356697011981867
0.124,-0.004660649228039817
0.125,-0.012052744795923914
0.126,-0.008356697011981867
0.127,-0.015748792579865965
0.128,-0.0009646014440977679
0.129,0.013819589691670428
0.13,-0.02314088814775006
0.131,-0.0009646014440977679
0.132,-0.0009646014440977679
0.133,-0.004660649228039817
0.134,-0.0009646014440977679
0.135,0.00642749412378633
0.136,-0.015748792579865965
0.137,-0.0009646014440977679
0.138,-0.008356697011981867
0.139,0.017515637475612477
0.14,0.00642749412378633
0.141,-0.004660649228039817
0.142,-0.02314088814775006
0.143,-0.03422903149957621
0.144,0.010123541907728378
0.145,-0.0009646014440977679
0.146,-0.008356697011981867
0.147,-0.008356697011981867
0.148,0.002731446339844281
0.149,-0.008356697011981867
