Time (s),Voltage (V)
0.0,-0.008356697011981867
0.001,0.002731446339844281
0.002,-0.004660649228039817
0.003,-0.0009646014440977679
0.004,-0.0009646014440977679
0.005,-0.008356697011981867
0.006,0.002731446339844281
0.007,-0.0009646014440977679
0.008,0.024907733043496576
0.009,-0.015748792579865965
0.01,-0.004660649228039817
0.011,-0.0009646014440977679
0.012,-0.02683693593169211
0.013,-0.012052744795923914
0.014,-0.004660649228039817
0.015,-0.012052744795923914
0.016,0.010123541907728378
0.017,-0.03422903149957621
0.018,-0.0009646014440977679
0.019,-0.004660649228039817
0.02,-0.004660649228039817
0.021,-0.02314088814775006
0.022,-0.008356697011981867
0.023,-0.004660649228039817
0.024,0.00642749412378633
0.025,-0.019444840363808013
0.026,-0.012052744795923914
0.027,-0.015748792579865965
0.028,-0.019444840363808013
0.029,-0.015748792579865965
0.03,-0.008356697011981867
0.031,-0.012052744795923914
0.032,-0.019444840363808013
0.033,-0.008356697011981867
0.034,-0.012052744795923914
0.035,-0.008356697011981867
0.036,-0.02683693593169211
0.037,-0.012052744795923914
0.038,-0.015748792579865965
0.039,-0.004660649228039817
0.04,-0.03422903149957621
0.041,-0.0009646014440977679
0.042,-0.03792507928351826
0.043,-0.02683693593169211
0.044,-0.019444840363808013
0.045,-0.004660649228039817
0.046,-0.02683693593169211
0.047,-0.004660649228039817
0.048,-0.03053298371563416
0.049,-0.03422903149957621
0.05,-0.008356697011981867
0.051,-0.0009646014440977679
0.052,0.013819589691670428
0.053,-0.0009646014440977679
0.054,0.010123541907728378
0.055,-0.012052744795923914
0.056,-0.008356697011981867
0.057,0.010123541907728378
0.058,-0.004660649228039817
0.059,-0.012052744795923914
0.06,-0.02683693593169211
0.061,-0.004660649228039817
0.062,-0.008356697011981867
0.063,-0.004660649228039817
0.064,-0.02314088814775006
0.065,0.00642749412378633
0.066,-0.012052744795923914
0.067,-0.008356697011981867
0.068,-0.015748792579865965
0.069,-0.02683693593169211
0.07,-0.0009646014440977679
0.071,-0.008356697011981867
0.072,-0.008356697011981867
0.073,-0.012052744795923914
0.074,-0.008356697011981867
0.075,-0.008356697011981867
0.076,-0.0009646014440977679
0.077,-0.015748792579865965
0.078,0.021211685259554525
0.079,-0.008356697011981867
0.08,-0.004660649228039817
0.081,0.010123541907728378
0.082,0.010123541907728378
0.083,-0.004660649228039817
0.084,-0.019444840363808013
0.085,-0.012052744795923914
0.086,-0.0009646014440977679
0.087,-0.0009646014440977679
0.088,0.00642749412378633
0.089,0.002731446339844281
0.09,-0.004660649228039817
0.091,-0.015748792579865965
0.092,-0.004660649228039817
0.093,-0.008356697011981867
0.094,-0.008356697011981867
0.095,0.013819589691670428
0.096,-0.015748792579865965
0.097,-0.004660649228039817
0.098,-0.008356697011981867
0.099,-0.008356697011981867
0.1,0.010123541907728378
0.101,-0.015748792579865965
0.102,-0.015748792579865965
0.103,-0.02314088814775006
0.104,0.013819589691670428
0.105,-0.02683693593169211
0.106,-0.004660649228039817
0.107,-0.012052744795923914
0.108,-0.0009646014440977679
0.109,0.00642749412378633
0.11,0.00642749412378633
0.111,-0.03053298371563416
0.112,0.00642749412378633
0.113,-0.008356697011981867
0.114,-0.019444840363808013
0.115,-0.012052744795923914
0.116,0.002731446339844281
0.117,-0.03792507928351826
0.118,-0.012052744795923914
0.119,0.00642749412378633
0.12,-0.008356697011981867
0.121,-0.008356697011981867
0.122,-0.03053298371563416
0.123,-0.015748792579865965
0.124,0.021211685259554525
0.125,-0.03053298371563416
0.126,-0.02683693593169211
0.127,-0.02314088814775006
0.128,0.00642749412378633
0.129,-0.004660649228039817
0.13,-0.015748792579865965
0.131,-0.03053298371563416
0.132,-0.008356697011981867
0.133,-0.02314088814775006
0.134,-0.008356697011981867
0.135,-0.004660649228039817
0.136,-0.0009646014440977679
0.137,0.002731446339844281
0.138,-0.012052744795923914
0.139,-0.004660649228039817
0.14,-0.012052744795923914
0.141,-0.019444840363808013
0.142,-0.008356697011981867
0.143,0.00642749412378633
0.144,-0.0009646014440977679
0.145,-0.02314088814775006
0.146,-0.02314088814775006
0.147,-0.012052744795923914
0.148,0.010123541907728378
0.149,0.002731446339844281
0.15,-0.004660649228039817
0.151,-0.02314088814775006
0.152,-0.008356697011981867
0.153,-0.004660649228039817
0.154,0.00642749412378633
0.155,-0.012052744795923914
0.156,0.021211685259554525
0.157,-0.02683693593169211
0.158,-0.012052744795923914
0.159,-0.012052744795923914
0.16,0.002731446339844281
0.161,-0.015748792579865965
0.162,0.010123541907728378
0.163,-0.004660649228039817
0.164,-0.008356697011981867
0.165,-0.02683693593169211
0.166,-0.02314088814775006
0.167,-0.015748792579865965
0.168,-0.004660649228039817
0.169,0.002731446339844281
0.17,0.002731446339844281
0.171,-0.012052744795923914
0.172,-0.004660649228039817
0.173,0.00642749412378633
0.174,-0.015748792579865965
0.175,-0.0009646014440977679
0.176,-0.0009646014440977679
0.177,-0.012052744795923914
0.178,0.021211685259554525
0.179,0.00642749412378633
0.18,-0.0009646014440977679
0.181,-0.02683693593169211
0.182,-0.03792507928351826
0.183,-0.0009646014440977679
0.184,0.002731446339844281
0.185,-0.012052744795923914
0.186,-0.008356697011981867
0.187,-0.03053298371563416
0.188,0.00642749412378633
0.189,-0.0009646014440977679
0.19,-0.008356697011981867
0.191,-0.012052744795923914
0.192,-0.015748792579865965
0.193,-0.008356697011981867
0.194,-0.02314088814775006
0.195,-0.015748792579865965
0.196,-0.004660649228039817
0.197,0.002731446339844281
0.198,-0.012052744795923914
0.199,-0.015748792579865965
0.2,-0.0009646014440977679
0.201,0.010123541907728378
0.202,-0.012052744795923914
0.203,-0.02683693593169211
0.204,-0.0009646014440977679
0.205,-0.03053298371563416
