Time (s),Voltage (V)
0.0,-0.004660649228039817
0.001,-0.012052744795923914
0.002,-0.004660649228039817
0.003,0.00642749412378633
0.004,-0.008356697011981867
0.005,-0.004660649228039817
0.006,0.00642749412378633
0.007,-0.004660649228039817
0.008,-0.008356697011981867
0.009,-0.02683693593169211
0.01,-0.015748792579865965
0.011,-0.03422903149957621
0.012,0.010123541907728378
0.013,-0.012052744795923914
0.014,0.002731446339844281
0.015,-0.012052744795923914
0.016,-0.0009646014440977679
0.017,0.028603780827438623
0.018,0.00642749412378633
0.019,0.002731446339844281
0.02,-0.019444840363808013
0.021,0.002731446339844281
0.022,-0.0009646014440977679
0.023,-0.0009646014440977679
0.024,-0.004660649228039817
0.025,-0.015748792579865965
0.026,-0.0009646014440977679
0.027,-0.008356697011981867
0.028,-0.012052744795923914
0.029,-0.019444840363808013
0.03,-0.015748792579865965
0.031,-0.012052744795923914
0.032,0.00642749412378633
0.033,-0.008356697011981867
0.034,0.00642749412378633
0.035,-0.012052744795923914
0.036,-0.0009646014440977679
0.037,0.021211685259554525
0.038,-0.012052744795923914
0.039,0.00642749412378633
0.04,-0.019444840363808013
0.041,-0.015748792579865965
0.042,-0.012052744795923914
0.043,-0.02314088814775006
0.044,-0.015748792579865965
0.045,-0.012052744795923914
0.046,-0.008356697011981867
0.047,-0.015748792579865965
0.048,0.013819589691670428
0.049,-0.008356697011981867
0.05,-0.015748792579865965
0.051,-0.015748792579865965
0.052,-0.0009646014440977679
0.053,-0.0009646014440977679
0.054,-0.015748792579865965
0.055,-0.008356697011981867
0.056,-0.004660649228039817
0.057,-0.02314088814775006
0.058,-0.0009646014440977679
0.059,-0.008356697011981867
0.06,-0.012052744795923914
0.061,-0.004660649228039817
0.062,-0.0009646014440977679
0.063,-0.004660649228039817
0.064,-0.008356697011981867
0.065,-0.004660649228039817
0.066,-0.02314088814775006
0.067,0.002731446339844281
0.068,0.00642749412378633
0.069,0.010123541907728378
0.07,-0.012052744795923914
0.071,-0.0009646014440977679
0.072,0.00642749412378633
0.073,-0.004660649228039817
0.074,-0.004660649228039817
0.075,0.010123541907728378
0.076,-0.008356697011981867
0.077,-0.02683693593169211
0.078,-0.008356697011981867
0.079,0.00642749412378633
0.08,-0.019444840363808013
0.081,-0.008356697011981867
0.082,-0.004660649228039817
0.083,-0.008356697011981867
0.084,-0.015748792579865965
0.085,-0.008356697011981867
0.086,-0.008356697011981867
0.087,0.00642749412378633
0.088,-0.0009646014440977679
0.089,-0.012052744795923914
0.09,-0.008356697011981867
0.091,0.017515637475612477
0.092,-0.02683693593169211
0.093,-0.02683693593169211
0.094,0.03229982861138067
0.095,-0.012052744795923914
0.096,-0.03053298371563416
0.097,-0.008356697011981867
0.098,-0.004660649228039817
0.099,-0.019444840363808013
0.1,-0.0009646014440977679
0.101,-0.019444840363808013
0.102,-0.008356697011981867
0.103,-0.012052744795923914
0.104,0.00642749412378633
0.105,-0.004660649228039817
0.106,-0.0009646014440977679
0.107,0.00642749412378633
0.108,-0.012052744795923914
0.109,-0.012052744795923914
0.11,-0.0009646014440977679
0.111,-0.004660649228039817
0.112,-0.012052744795923914
0.113,0.002731446339844281
0.114,-0.008356697011981867
0.115,-0.008356697011981867
0.116,0.002731446339844281
0.117,-0.0009646014440977679
0.118,-0.015748792579865965
0.119,-0.012052744795923914
0.12,-0.019444840363808013
0.121,0.002731446339844281
0.122,0.00642749412378633
0.123,-0.015748792579865965
0.124,-0.008356697011981867
0.125,-0.02314088814775006
0.126,-0.004660649228039817
0.127,-0.0009646014440977679
0.128,-0.008356697011981867
0.129,-0.008356697011981867
0.13,0.013819589691670428
0.131,-0.0009646014440977679
0.132,-0.008356697011981867
0.133,-0.02314088814775006
0.134,-0.015748792579865965
0.135,-0.008356697011981867
0.136,0.00642749412378633
0.137,-0.03792507928351826
0.138,-0.02314088814775006
0.139,-0.03792507928351826
0.14,-0.012052744795923914
0.141,-0.008356697011981867
0.142,-0.012052744795923914
0.143,-0.012052744795923914
0.144,0.017515637475612477
0.145,-0.004660649228039817
0.146,0.021211685259554525
0.147,-0.004660649228039817
0.148,-0.02683693593169211
0.149,-0.012052744795923914
0.15,-0.012052744795923914
0.151,0.00642749412378633
0.152,-0.008356697011981867
0.153,-0.03053298371563416
0.154,0.00642749412378633
0.155,-0.008356697011981867
0.156,-0.02314088814775006
0.157,-0.0009646014440977679
0.158,0.002731446339844281
0.159,-0.019444840363808013
0.16,0.017515637475612477
0.161,-0.0009646014440977679
0.162,-0.0009646014440977679
0.163,-0.008356697011981867
0.164,0.021211685259554525
0.165,-0.0009646014440977679
0.166,-0.0009646014440977679
0.167,-0.008356697011981867
0.168,-0.004660649228039817
0.169,-0.02683693593169211
0.17,-0.0009646014440977679
0.171,0.002731446339844281
0.172,-0.019444840363808013
0.173,0.010123541907728378
0.174,-0.015748792579865965
0.175,0.002731446339844281
0.176,0.00642749412378633
0.177,0.00642749412378633
0.178,0.010123541907728378
0.179,-0.015748792579865965
0.18,-0.004660649228039817
0.181,-0.019444840363808013
0.182,-0.0009646014440977679
0.183,0.013819589691670428
0.184,0.002731446339844281
0.185,-0.02314088814775006
0.186,0.002731446339844281
0.187,-0.02314088814775006
0.188,0.002731446339844281
0.189,-0.02683693593169211
0.19,-0.004660649228039817
0.191,0.013819589691670428
0.192,-0.0009646014440977679
0.193,-0.0009646014440977679
0.194,0.013819589691670428
0.195,0.013819589691670428
0.196,-0.0009646014440977679
0.197,-0.015748792579865965
0.198,0.002731446339844281
0.199,-0.015748792579865965
0.2,0.00642749412378633
0.201,-0.019444840363808013
0.202,-0.012052744795923914
0.203,-0.012052744795923914
0.204,0.002731446339844281
0.205,-0.015748792579865965
0.206,-0.012052744795923914
0.207,-0.004660649228039817
0.208,0.002731446339844281
0.209,-0.0009646014440977679
0.21,-0.004660649228039817
0.211,-0.012052744795923914
0.212,-0.0009646014440977679
0.213,-0.0009646014440977679
0.214,-0.019444840363808013
0.215,0.00642749412378633
0.216,-0.02314088814775006
0.217,-0.0009646014440977679
0.218,-0.008356697011981867
0.219,-0.0009646014440977679
0.22,-0.004660649228039817
0.221,-0.015748792579865965
0.222,-0.008356697011981867
0.223,0.002731446339844281
0.224,-0.008356697011981867
0.225,-0.019444840363808013
0.226,-0.008356697011981867
0.227,0.00642749412378633
0.228,-0.0009646014440977679
0.229,0.00642749412378633
0.23,-0.004660649228039817
0.231,-0.008356697011981867
0.232,-0.012052744795923914
0.233,-0.004660649228039817
0.234,0.00642749412378633
0.235,0.002731446339844281
0.236,0.00642749412378633
0.237,-0.012052744795923914
0.238,0.010123541907728378
0.239,-0.019444840363808013
0.24,-0.012052744795923914
0.241,-0.012052744795923914
0.242,-0.008356697011981867
0.243,0.002731446339844281
0.244,-0.0009646014440977679
0.245,-0.0009646014440977679
0.246,-0.004660649228039817
0.247,-0.012052744795923914
0.248,-0.012052744795923914
0.249,-0.012052744795923914
0.25,-0.0009646014440977679
0.251,0.013819589691670428
0.252,-0.019444840363808013
0.253,-0.0009646014440977679
0.254,-0.012052744795923914
0.255,-0.008356697011981867
0.256,0.010123541907728378
0.257,-0.015748792579865965
0.258,-0.008356697011981867
0.259,-0.0009646014440977679
0.26,-0.012052744795923914
0.261,-0.012052744795923914
0.262,-0.008356697011981867
0.263,-0.004660649228039817
0.264,-0.015748792579865965
0.265,0.010123541907728378
0.266,-0.004660649228039817
0.267,-0.02683693593169211
0.268,-0.004660649228039817
0.269,-0.0009646014440977679
0.27,-0.02683693593169211
0.271,-0.0009646014440977679
0.272,-0.012052744795923914
0.273,-0.008356697011981867
0.274,-0.004660649228039817
0.275,-0.015748792579865965
0.276,-0.015748792579865965
0.277,-0.0009646014440977679
0.278,-0.004660649228039817
0.279,-0.008356697011981867
0.28,0.021211685259554525
0.281,-0.015748792579865965
0.282,-0.0009646014440977679
0.283,-0.015748792579865965
0.284,0.002731446339844281
0.285,-0.008356697011981867
0.286,0.010123541907728378
0.287,0.002731446339844281
0.288,-0.004660649228039817
0.289,-0.015748792579865965
0.29,-0.004660649228039817
0.291,-0.0009646014440977679
0.292,-0.015748792579865965
0.293,-0.02683693593169211
0.294,-0.012052744795923914
0.295,-0.0009646014440977679
0.296,-0.004660649228039817
0.297,-0.019444840363808013
0.298,-0.008356697011981867
0.299,-0.012052744795923914
0.3,-0.008356697011981867
0.301,-0.03792507928351826
0.302,-0.0009646014440977679
0.303,-0.02314088814775006
0.304,-0.008356697011981867
0.305,-0.008356697011981867
0.306,-0.0009646014440977679
0.307,-0.008356697011981867
0.308,-0.012052744795923914
0.309,-0.019444840363808013
0.31,0.010123541907728378
0.311,-0.0009646014440977679
0.312,0.002731446339844281
0.313,-0.019444840363808013
0.314,0.013819589691670428
0.315,0.010123541907728378
0.316,-0.03422903149957621
0.317,-0.004660649228039817
0.318,0.00642749412378633
0.319,-0.004660649228039817
0.32,0.002731446339844281
0.321,0.002731446339844281
0.322,-0.012052744795923914
0.323,-0.019444840363808013
0.324,0.002731446339844281
0.325,0.013819589691670428
0.326,0.021211685259554525
0.327,-0.008356697011981867
0.328,-0.019444840363808013
0.329,-0.0009646014440977679
0.33,-0.0009646014440977679
0.331,-0.004660649228039817
0.332,0.013819589691670428
0.333,0.00642749412378633
0.334,-0.012052744795923914
0.335,-0.0009646014440977679
0.336,0.010123541907728378
0.337,0.010123541907728378
0.338,-0.008356697011981867
0.339,0.00642749412378633
0.34,-0.015748792579865965
0.341,-0.004660649228039817
0.342,-0.008356697011981867
0.343,-0.015748792579865965
0.344,-0.02314088814775006
0.345,-0.008356697011981867
0.346,-0.008356697011981867
0.347,-0.0009646014440977679
0.348,-0.015748792579865965
0.349,-0.008356697011981867
0.35,-0.008356697011981867
0.351,-0.02314088814775006
0.352,-0.0009646014440977679
0.353,-0.0009646014440977679
0.354,-0.015748792579865965
0.355,-0.008356697011981867
0.356,0.002731446339844281
0.357,0.002731446339844281
0.358,-0.03053298371563416
0.359,0.002731446339844281
0.36,-0.012052744795923914
0.361,-0.02683693593169211
0.362,0.00642749412378633
0.363,0.002731446339844281
0.364,0.00642749412378633
0.365,0.00642749412378633
0.366,-0.019444840363808013
0.367,-0.012052744795923914
0.368,-0.008356697011981867
0.369,-0.02314088814775006
0.37,0.017515637475612477
0.371,0.00642749412378633
0.372,-0.02314088814775006
0.373,-0.019444840363808013
0.374,0.002731446339844281
0.375,-0.0009646014440977679
0.376,-0.004660649228039817
0.377,-0.008356697011981867
0.378,-0.02314088814775006
0.379,-0.004660649228039817
0.38,-0.012052744795923914
0.381,-0.03053298371563416
0.382,-0.015748792579865965
0.383,-0.0009646014440977679
0.384,-0.012052744795923914
0.385,-0.0009646014440977679
0.386,0.017515637475612477
0.387,-0.02314088814775006
0.388,-0.008356697011981867
0.389,-0.02314088814775006
0.39,0.010123541907728378
0.391,-0.012052744795923914
0.392,0.024907733043496576
0.393,0.010123541907728378
0.394,0.00642749412378633
0.395,-0.019444840363808013
0.396,-0.019444840363808013
0.397,-0.02314088814775006
0.398,-0.0009646014440977679
0.399,0.002731446339844281
0.4,-0.02314088814775006
0.401,-0.019444840363808013
0.402,-0.0009646014440977679
0.403,-0.015748792579865965
0.404,0.013819589691670428
0.405,0.013819589691670428
0.406,-0.03053298371563416
0.407,0.002731446339844281
0.408,-0.004660649228039817
0.409,0.002731446339844281
0.41,-0.0009646014440977679
0.411,-0.02314088814775006
0.412,-0.015748792579865965
0.413,-0.008356697011981867
0.414,0.002731446339844281
0.415,0.00642749412378633
0.416,0.002731446339844281
0.417,-0.015748792579865965
0.418,0.010123541907728378
0.419,-0.02683693593169211
0.42,-0.02314088814775006
0.421,-0.015748792579865965
0.422,0.002731446339844281
0.423,-0.015748792579865965
0.424,-0.015748792579865965
0.425,-0.008356697011981867
0.426,-0.019444840363808013
0.427,0.002731446339844281
0.428,-0.015748792579865965
0.429,-0.02314088814775006
0.43,0.002731446339844281
0.431,-0.015748792579865965
0.432,-0.019444840363808013
0.433,-0.008356697011981867
0.434,-0.012052744795923914
0.435,-0.019444840363808013
0.436,-0.012052744795923914
0.437,0.002731446339844281
0.438,-0.015748792579865965
0.439,0.010123541907728378
0.44,-0.004660649228039817
0.441,-0.012052744795923914
0.442,-0.004660649228039817
0.443,-0.03422903149957621
0.444,-0.02683693593169211
0.445,-0.012052744795923914
0.446,-0.008356697011981867
0.447,-0.008356697011981867
0.448,-0.012052744795923914
0.449,-0.0009646014440977679
0.45,-0.03053298371563416
0.451,-0.012052744795923914
0.452,0.002731446339844281
0.453,-0.03053298371563416
0.454,0.00642749412378633
0.455,0.002731446339844281
0.456,-0.04162112706746031
0.457,-0.008356697011981867
0.458,-0.004660649228039817
0.459,0.010123541907728378
0.46,0.002731446339844281
0.461,0.002731446339844281
0.462,-0.004660649228039817
0.463,-0.015748792579865965
0.464,-0.008356697011981867
0.465,0.013819589691670428
0.466,-0.019444840363808013
0.467,-0.019444840363808013
0.468,-0.008356697011981867
0.469,-0.008356697011981867
0.47,0.002731446339844281
0.471,-0.012052744795923914
0.472,-0.008356697011981867
0.473,0.002731446339844281
0.474,-0.02683693593169211
0.475,-0.02683693593169211
0.476,-0.008356697011981867
0.477,-0.004660649228039817
0.478,-0.015748792579865965
0.479,-0.015748792579865965
0.48,-0.019444840363808013
0.481,-0.012052744795923914
0.482,0.013819589691670428
0.483,-0.008356697011981867
0.484,-0.008356697011981867
0.485,0.002731446339844281
0.486,-0.0009646014440977679
0.487,-0.0009646014440977679
0.488,-0.004660649228039817
0.489,-0.02314088814775006
0.49,-0.015748792579865965
0.491,-0.004660649228039817
0.492,-0.019444840363808013
0.493,0.017515637475612477
0.494,0.017515637475612477
0.495,0.017515637475612477
0.496,-0.0009646014440977679
0.497,-0.004660649228039817
0.498,0.013819589691670428
0.499,-0.019444840363808013
0.5,0.002731446339844281
0.501,-0.0009646014440977679
0.502,-0.004660649228039817
0.503,0.002731446339844281
0.504,-0.03422903149957621
0.505,-0.03422903149957621
0.506,-0.0009646014440977679
0.507,-0.012052744795923914
0.508,-0.012052744795923914
0.509,-0.02314088814775006
0.51,-0.012052744795923914
0.511,-0.004660649228039817
0.512,-0.012052744795923914
0.513,-0.004660649228039817
0.514,-0.004660649228039817
0.515,-0.012052744795923914
0.516,-0.008356697011981867
0.517,-0.02314088814775006
0.518,-0.015748792579865965
0.519,0.002731446339844281
0.52,-0.02683693593169211
0.521,-0.02314088814775006
0.522,-0.012052744795923914
0.523,-0.0009646014440977679
0.524,-0.02314088814775006
0.525,-0.004660649228039817
0.526,-0.008356697011981867
0.527,-0.012052744795923914
0.528,-0.0009646014440977679
0.529,-0.004660649228039817
0.53,-0.012052744795923914
0.531,-0.019444840363808013
0.532,-0.0009646014440977679
0.533,0.002731446339844281
0.534,-0.012052744795923914
0.535,-0.03422903149957621
0.536,-0.012052744795923914
0.537,0.013819589691670428
0.538,-0.0009646014440977679
0.539,-0.008356697011981867
0.54,-0.008356697011981867
0.541,-0.008356697011981867
0.542,0.002731446339844281
0.543,-0.008356697011981867
0.544,-0.019444840363808013
0.545,0.010123541907728378
0.546,-0.015748792579865965
0.547,-0.004660649228039817
0.548,-0.012052744795923914
0.549,-0.008356697011981867
0.55,-0.012052744795923914
0.551,0.002731446339844281
0.552,-0.004660649228039817
0.553,0.010123541907728378
0.554,-0.008356697011981867
0.555,0.002731446339844281
0.556,0.002731446339844281
0.557,-0.008356697011981867
0.558,0.013819589691670428
0.559,-0.012052744795923914
0.56,-0.008356697011981867
0.561,-0.02314088814775006
0.562,-0.03422903149957621
0.563,0.010123541907728378
0.564,-0.012052744795923914
0.565,0.010123541907728378
0.566,-0.004660649228039817
0.567,-0.004660649228039817
0.568,-0.004660649228039817
0.569,-0.02314088814775006
0.57,0.010123541907728378
0.571,0.017515637475612477
0.572,-0.012052744795923914
0.573,0.00642749412378633
0.574,0.013819589691670428
0.575,-0.004660649228039817
0.576,-0.012052744795923914
0.577,-0.015748792579865965
0.578,-0.0009646014440977679
0.579,-0.008356697011981867
0.58,-0.004660649228039817
0.581,-0.008356697011981867
0.582,-0.02314088814775006
0.583,-0.0009646014440977679
0.584,-0.008356697011981867
0.585,0.013819589691670428
0.586,0.00642749412378633
0.587,0.010123541907728378
0.588,-0.015748792579865965
0.589,-0.0009646014440977679
0.59,-0.004660649228039817
0.591,-0.004660649228039817
0.592,0.002731446339844281
0.593,-0.012052744795923914
0.594,0.00642749412378633
0.595,-0.019444840363808013
0.596,0.013819589691670428
0.597,0.024907733043496576
0.598,0.002731446339844281
0.599,-0.008356697011981867
0.6,0.00642749412378633
0.601,0.024907733043496576
0.602,-0.012052744795923914
0.603,0.002731446339844281
0.604,-0.0009646014440977679
0.605,-0.0009646014440977679
0.606,0.002731446339844281
0.607,-0.015748792579865965
0.608,0.002731446339844281
0.609,-0.0009646014440977679
0.61,-0.008356697011981867
0.611,-0.012052744795923914
0.612,0.017515637475612477
0.613,-0.015748792579865965
