590.108025,-5.292971000000023,"Precision 11"
590.137004,-5.215207000000021,"Precision 11"
590.299454,-5.176290999999992,"Precision 11"
590.284514,-5.17197299999998,"Precision 11"
590.403046,-5.163301999999987,"Precision 11"
590.19393,-5.117264999999975,"Precision 11"
590.158746,-4.993425000000002,"Precision 11"
590.17301,-4.983336000000008,"Precision 11"
590.262677,-4.994811000000027,"Precision 11"
590.292034,-4.989034000000004,"Precision 11"
590.203169,-4.991962000000001,"Precision 11"
590.143671,-4.989112999999975,"Precision 11"
590.158746,-4.993425000000002,"Precision 11"
590.247598,-4.990498000000002,"Precision 11"
590.232516,-4.986184999999978,"Precision 11"
591.014204,-4.729044999999985,"Precision 12"
590.524396,-4.605587000000014,"Precision 12"
590.524396,-4.605587000000014,"Precision 12"
590.688341,-4.609717999999987,"Precision 12"
590.765301,-4.631253000000015,"Precision 12"
590.855875,-4.642684999999972,"Precision 12"
590.708931,-4.657264999999995,"Precision 12"
590.799434,-4.668700000000001,"Precision 12"
590.934391,-4.678650000000005,"Precision 12"
591.054034,-4.684293000000025,"Precision 12"
591.009565,-4.685782000000017,"Precision 12"
590.951339,-4.69738000000001,"Precision 12"
591.159942,-4.7000509999999736,"Precision 12"
588.490376,-4.827715000000012,"Precision 13"
588.327811,-4.82353999999998,"Precision 13"
588.476475,-4.837779000000012,"Precision 13"
588.535714,-4.840604999999982,"Precision 13"
588.519384,-4.821947000000023,"Precision 13"
588.429891,-4.810533000000021,"Precision 13"
588.443741,-4.8004700000000184,"Precision 13"
588.445016,-4.814827999999977,"Precision 13"
588.370658,-4.807710999999983,"Precision 13"
588.370658,-4.807710999999983,"Precision 13"
588.385782,-4.812005999999997,"Precision 13"
587.83972,-4.657533000000001,"Precision 14"
587.942917,-4.658854000000019,"Precision 14"
588.107019,-4.6773319999999785,"Precision 14"
588.137438,-4.685910999999976,"Precision 14"
588.330421,-4.69862999999998,"Precision 14"
588.227097,-4.697300999999982,"Precision 14"
588.166265,-4.680138999999997,"Precision 14"
587.567324,-4.887248,"Precision 15"
587.539377,-4.907340999999974,"Precision 15"
587.494346,-4.894468000000018,"Precision 15"
587.521125,-4.860040000000026,"Precision 15"
587.418124,-4.85868499999998,"Precision 15"
587.595202,-4.867154000000028,"Precision 15"
587.669288,-4.874269000000027,"Precision 15"
587.537273,-4.878667000000007,"Precision 15"
587.69936,-4.882852000000014,"Precision 15"
588.008749,-4.8869359999999915,"Precision 15"
588.184555,-5.163827000000026,"Precision 15"
