591.451823,-6.988965000000007,"Chicken1"
591.451192,-6.94135799999998,"Chicken1"
591.383145,-6.919533000000001,"Chicken1"
591.481563,-6.888064999999983,"Chicken1"
592.021026,-6.299022999999977,"Chicken2"
592.296245,-6.170949000000007,"Chicken2"
592.523745,-6.044146000000012,"Chicken2"
592.453775,-6.007946000000004,"Chicken2"
592.651768,-5.977836000000025,"Chicken2"
592.606761,-5.979229999999973,"Chicken2"
592.155212,-5.71017599999999,"Chicken2"
592.453768,-5.710380999999984,"Chicken2"
592.319061,-5.714621000000022,"Chicken2"
592.259566,-5.711690999999973,"Chicken2"
592.545639,-5.678660999999977,"Chicken2"
592.604202,-5.696035999999992,"Chicken2"
592.618837,-5.700379999999996,"Chicken2"
592.663774,-5.698964999999987,"Chicken2"
592.744432,-5.605083999999977,"Chicken2"
592.893972,-5.605160000000012,"Chicken2"
592.998615,-5.606659999999977,"Chicken2"
593.087759,-5.618272999999988,"Chicken2"
593.20719,-5.624122,"Chicken2"
593.491225,-5.634404000000018,"Chicken2"
592.356601,-5.593332999999973,"Chicken2"
624.030399,-10.550096999999994,"Chicken5"
596.41096,-7.377003000000002,"Chicken5"
592.316135,-5.493671000000006,"Chicken5"
592.652953,-5.829003999999998,"Chicken5"
592.211702,-5.492192999999986,"Chicken5"
592.313182,-5.565874000000008,"Chicken5"
593.933203,-6.5383130000000165,"Chicken5"
594.822424,-4.221141999999986,"Precision 1"
610.651177,-4.140229999999974,"Precision 1"
594.714693,-4.2880460000000085,"Precision 1"
614.393169,-4.166064000000006,"Precision 1"
613.111115,-4.168436999999983,"Precision 1"
611.266083,-4.359659000000022,"Precision 1"
610.415981,-4.402646000000004,"Precision 1"
609.726032,-4.445291999999995,"Precision 1"
608.652685,-4.5551379999999995,"Precision 1"
606.549431,-4.856453999999985,"Precision 1"
605.651794,-4.984105,"Precision 1"
605.063482,-5.067025000000001,"Precision 1"
605.001676,-5.078848999999991,"Precision 1"
604.565002,-5.058375000000012,"Precision 1"
604.210809,-5.148376999999982,"Precision 1"
604.086804,-5.1572459999999865,"Precision 1"
603.730904,-5.202961000000016,"Precision 1"
603.576309,-5.232416999999998,"Precision 1"
603.761814,-5.197068000000002,"Precision 1"
604.296824,-4.983344999999986,"Precision 1"
603.664037,-5.052853000000027,"Precision 1"
602.81595,-5.14873399999999,"Precision 1"
602.476506,-5.169384999999977,"Precision 1"
602.863906,-5.220741999999973,"Precision 1"
602.725158,-5.254558999999972,"Precision 1"
602.493437,-5.261922000000027,"Precision 1"
602.292857,-5.307456000000002,"Precision 1"
602.493528,-5.276611000000003,"Precision 1"
602.416369,-5.298645000000022,"Precision 1"
602.586283,-5.303050999999982,"Precision 1"
602.292857,-5.307456000000002,"Precision 1"
602.354603,-5.310393999999974,"Precision 1"
602.431734,-5.273676000000023,"Precision 1"
602.292825,-5.32213999999999,"Precision 1"
602.400926,-5.308925999999985,"Precision 1"
602.354485,-5.266337000000021,"Precision 1"
602.862299,-5.147252999999978,"Precision 1"
75040.137275,19.625423000000012,"Precision 1"
78423.402375,22.117097,"Precision 1"
84713.245178,23.109609999999975,"Precision 1"
89746.345646,23.709048999999993,"Precision 1"
92714.41928,25.81576799999999,"Precision 1"
94374.134717,25.897463000000016,"Precision 1"
98520.751349,27.720816000000013,"Precision 1"
103207.074578,28.596379000000013,"Precision 1"
